--------- beginning of /dev/log/main 
I/Icing   (  746): Indexing 9EBFE84EABD9270B25A97439CA522B4FC49A4875 from com.google.android.gms 
I/Icing   (  746): Indexing done 9EBFE84EABD9270B25A97439CA522B4FC49A4875 
D/AndroidRuntime( 8097):  
D/AndroidRuntime( 8097): >>>>>> AndroidRuntime START com.android.internal.os.RuntimeInit <<<<<< 
D/AndroidRuntime( 8097): CheckJNI is OFF 
D/dalvikvm( 8097): Using executionMode 2 
D/dalvikvm( 8097): Trying to load lib libjavacore.so 0x0 
D/dalvikvm( 8097): Added shared lib libjavacore.so 0x0 
D/dalvikvm( 8097): Trying to load lib libnativehelper.so 0x0 
D/dalvikvm( 8097): Added shared lib libnativehelper.so 0x0 
D/dalvikvm( 8097): No JNI_OnLoad found in libnativehelper.so 0x0, skipping init 
D/dalvikvm( 8097): Note: class Landroid/app/ActivityManagerNative; has 179 unimplemented (abstract) methods 
E/memtrack( 8097): Couldn't load memtrack module (No such file or directory) 
E/android.os.Debug( 8097): failed to load memtrack module: -2 
D/AndroidRuntime( 8097): Calling main entry com.android.commands.monkey.Monkey 
--------- beginning of /dev/log/system 
W/BroadcastQueue(  470): Skipping deliver [background] BroadcastRecord{4aa65084 u-1 android.net.conn.CONNECTIVITY_CHANGE} to ReceiverList{4aa6a024 8097 (unknown name)/0/u-1 remote:4a9997d0}: process crashing 
D/yeshen  ( 6059): launcher onpause 
I/ActivityManager(  470): START u0 {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=com.greendot.walmart.prepaid/com.greendotcorp.core.activity.RootActivity} from pid 8097 
I/ActivityManager(  470): Start proc com.greendot.walmart.prepaid for activity com.greendot.walmart.prepaid/com.greendotcorp.core.activity.RootActivity: pid=8107 uid=10054 gids={50054, 3003, 1028, 1015, 1023} 
E/SurfaceFlinger(  165): glCheckFramebufferStatusOES error 36054 
E/SurfaceFlinger(  165): got GL_FRAMEBUFFER_COMPLETE_OES error while taking screenshot 
D/SurfaceFlinger(  165): setOrientation, mFbdev=0xb8e13050, mFbDev->setOrientation=0xb694cce0, orientation=3 
I/gralloc_nox(  165): setOrientation: orientation=3 
D/Tinker.DefaultAppLike( 6059): onConfigurationChanged:{1.0 310mcc16mnc ja_US ldltr sw480dp w480dp h828dp 240dpi lrg long port finger qwerty/v/v dpad/v s.43} 
I/InputReader(  470): Reconfiguring input devices.  changes=0x00000004 
I/InputReader(  470): Device reconfigured: id=1, name='seamless mouse', size 1280x720, orientation 3, mode 1, display id 0 
I/InputReader(  470): Device reconfigured: id=3, name='Android Input', size 1280x720, orientation 3, mode 1, display id 0 
I/InputReader(  470): Reconfiguring input devices.  changes=0x00000004 
I/InputReader(  470): Device reconfigured: id=8, name='VirtualBox USB Tablet', size 1280x720, orientation 3, mode 1, display id 0 
I/ActivityManager(  470): Config changes=480 {1.0 310mcc16mnc ja_US ldltr sw480dp w480dp h828dp 240dpi lrg long port finger qwerty/v/v dpad/v s.43} 
D/Sensors (  470): Client connection accepted (183) 
D/PhoneStatusBar(  556): mSettingsPanelGravity = 55 
W/SurfaceFlinger(  165): setTransactionState timed out! 
W/NetworkManagementSocketTagger(  470): setKernelCountSet(10054, 1) failed with errno -13 
I/WearableService(  668): Wearable Services stopping 
I/dalvikvm( 8107): ignoring registerObject request in thread=1 
I/dalvikvm( 8107): ignoring registerObject request in thread=1 
D/dalvikvm(  556): GC_FOR_ALLOC freed 767K, 65% free 7044K/19764K, paused 2ms, total 12ms 
I/dalvikvm-heap(  556): Grow heap (frag case) to 13.191MB for 6553612-byte allocation 
D/dalvikvm(  556): GC_FOR_ALLOC freed 1K, 49% free 13443K/26168K, paused 28ms, total 28ms 
D/dalvikvm(  556): GC_CONCURRENT freed 1K, 49% free 13442K/26168K, paused 2ms+1ms, total 6ms 
W/WindowManager(  470): Window freeze timeout expired. 
W/WindowManager(  470): Force clearing orientation change: Window{4a9639a4 u0 StatusBar} 
W/WindowManager(  470): Force clearing orientation change: Window{4aa644d8 u0 Starting com.greendot.walmart.prepaid} 
W/WindowManager(  470): Force clearing orientation change: Window{4a997784 u0 com.android.systemui.ImageWallpaper} 
W/WindowManager(  470): App freeze timeout expired. 
W/WindowManager(  470): Force clearing freeze: AppWindowToken{4aa5c4dc token=Token{4ac0083c ActivityRecord{4ae60120 u0 com.greendot.walmart.prepaid/com.greendotcorp.core.activity.RootActivity t48}}} 
E/FlurryAgent( 8107): Listener cannot be null 
I/WindowManager(  470): Screen frozen for +5s132ms due to Window{4aa644d8 u0 Starting com.greendot.walmart.prepaid} 
I/dalvikvm( 8107): Could not find method android.content.pm.PackageManager.getPackageInstaller, referenced from method com.google.android.gms.common.zze.zzs 
W/dalvikvm( 8107): VFY: unable to resolve virtual method 1628: Landroid/content/pm/PackageManager;.getPackageInstaller ()Landroid/content/pm/PackageInstaller; 
D/dalvikvm( 8107): VFY: replacing opcode 0x6e at 0x001a 
D/dalvikvm( 8107): JIT code cache reset in 0 ms (0 bytes 1/0) 
D/dalvikvm( 8107): GC_CONCURRENT freed 258K, 10% free 3071K/3392K, paused 1ms+2ms, total 12ms 
I/System.out( 8107): body:<okhttp3.MediaType: okhttp3.MediaType parse(java.lang.String)>	sig:specialinvoke $r11.<okhttp3.MediaType: void <init>(java.lang.String,java.lang.String,java.lang.String,java.lang.String)>($r0, $r4, $r5, $r7)	timediff:0 
I/System.out( 8107): body:<okhttp3.internal.Platform$Android: javax.net.ssl.X509TrustManager trustManager(javax.net.ssl.SSLSocketFactory)>	sig:$r5 = staticinvoke <okhttp3.internal.Platform$Android: java.lang.Object readFieldOrNull(java.lang.Object,java.lang.Class,java.lang.String)>($r3, class "javax/net/ssl/X509TrustManager", "trustManager")	timediff:0
I/System.out( 8107): body:<okhttp3.OkHttpClient: void <init>(okhttp3.OkHttpClient$Builder)>	sig:$r16 = virtualinvoke $r15.<okhttp3.internal.Platform: javax.net.ssl.X509TrustManager trustManager(javax.net.ssl.SSLSocketFactory)>($r13)	timediff:1
I/System.out( 8107): body:<okhttp3.OkHttpClient: void <init>(okhttp3.OkHttpClient$Builder)>	sig:$r15 = staticinvoke <okhttp3.internal.Platform: okhttp3.internal.Platform get()>()	timediff:0
I/System.out( 8107): body:<okhttp3.internal.tls.AndroidTrustRootIndex: okhttp3.internal.tls.TrustRootIndex get(javax.net.ssl.X509TrustManager)>	sig:specialinvoke $r4.<okhttp3.internal.tls.AndroidTrustRootIndex: void <init>(javax.net.ssl.X509TrustManager,java.lang.reflect.Method)>($r0, $r3)	timediff:0
I/System.out( 8107): body:<okhttp3.internal.Platform$Android: okhttp3.internal.tls.TrustRootIndex trustRootIndex(javax.net.ssl.X509TrustManager)>	sig:$r2 = staticinvoke <okhttp3.internal.tls.AndroidTrustRootIndex: okhttp3.internal.tls.TrustRootIndex get(javax.net.ssl.X509TrustManager)>($r1)	timediff:0
I/System.out( 8107): body:<okhttp3.OkHttpClient: void <init>(okhttp3.OkHttpClient$Builder)>	sig:$r14 = virtualinvoke $r15.<okhttp3.internal.Platform: okhttp3.internal.tls.TrustRootIndex trustRootIndex(javax.net.ssl.X509TrustManager)>($r16)	timediff:2
I/System.out( 8107): body:<okhttp3.CertificatePinner$Builder: void <init>(okhttp3.CertificatePinner)>	sig:$r3 = staticinvoke <okhttp3.CertificatePinner: java.util.List access$200(okhttp3.CertificatePinner)>($r1)	timediff:0
I/System.out( 8107): body:<okhttp3.CertificatePinner$Builder: void <init>(okhttp3.CertificatePinner)>	sig:$r5 = staticinvoke <okhttp3.CertificatePinner: okhttp3.internal.tls.TrustRootIndex access$300(okhttp3.CertificatePinner)>($r1)	timediff:0
I/System.out( 8107): body:<okhttp3.CertificatePinner: okhttp3.CertificatePinner$Builder newBuilder()>	sig:specialinvoke $r1.<okhttp3.CertificatePinner$Builder: void <init>(okhttp3.CertificatePinner)>($r0)	timediff:1
I/System.out( 8107): body:<okhttp3.OkHttpClient: void <init>(okhttp3.OkHttpClient$Builder)>	sig:$r25 = virtualinvoke $r24.<okhttp3.CertificatePinner: okhttp3.CertificatePinner$Builder newBuilder()>()	timediff:1
I/System.out( 8107): body:<okhttp3.OkHttpClient: void <init>(okhttp3.OkHttpClient$Builder)>	sig:$r25 = virtualinvoke $r25.<okhttp3.CertificatePinner$Builder: okhttp3.CertificatePinner$Builder trustRootIndex(okhttp3.internal.tls.TrustRootIndex)>($r14)	timediff:0
I/System.out( 8107): body:<okhttp3.CertificatePinner: void <init>(okhttp3.CertificatePinner$Builder)>	sig:$r2 = staticinvoke <okhttp3.CertificatePinner$Builder: java.util.List access$000(okhttp3.CertificatePinner$Builder)>($r1)	timediff:0
I/System.out( 8107): body:<okhttp3.CertificatePinner: void <init>(okhttp3.CertificatePinner$Builder)>	sig:$r2 = staticinvoke <okhttp3.internal.Util: java.util.List immutableList(java.util.List)>($r2)	timediff:0
I/System.out( 8107): body:<okhttp3.CertificatePinner: void <init>(okhttp3.CertificatePinner$Builder)>	sig:$r3 = staticinvoke <okhttp3.CertificatePinner$Builder: okhttp3.internal.tls.TrustRootIndex access$100(okhttp3.CertificatePinner$Builder)>($r1)	timediff:0
I/System.out( 8107): body:<okhttp3.CertificatePinner: void <init>(okhttp3.CertificatePinner$Builder,okhttp3.CertificatePinner$1)>	sig:specialinvoke $r0.<okhttp3.CertificatePinner: void <init>(okhttp3.CertificatePinner$Builder)>($r1)	timediff:0
I/System.out( 8107): body:<okhttp3.CertificatePinner$Builder: okhttp3.CertificatePinner build()>	sig:specialinvoke $r1.<okhttp3.CertificatePinner: void <init>(okhttp3.CertificatePinner$Builder,okhttp3.CertificatePinner$1)>($r0, null)	timediff:0
I/System.out( 8107): body:<okhttp3.OkHttpClient: void <init>(okhttp3.OkHttpClient$Builder)>	sig:$r24 = virtualinvoke $r25.<okhttp3.CertificatePinner$Builder: okhttp3.CertificatePinner build()>()	timediff:0
I/System.out( 8107): body:<okhttp3.OkHttpClient: void <init>(okhttp3.OkHttpClient$Builder,okhttp3.OkHttpClient$1)>	sig:specialinvoke $r0.<okhttp3.OkHttpClient: void <init>(okhttp3.OkHttpClient$Builder)>($r1)	timediff:38
I/System.out( 8107): body:<okhttp3.OkHttpClient$Builder: okhttp3.OkHttpClient build()>	sig:specialinvoke $r1.<okhttp3.OkHttpClient: void <init>(okhttp3.OkHttpClient$Builder,okhttp3.OkHttpClient$1)>($r0, null)	timediff:38
I/System.out( 8107): body:<com.greendotcorp.core.network.HttpClientGdcProvider: void <init>(java.lang.String,com.greendotcorp.core.data.UserState)>	sig:$r6 = virtualinvoke $r5.<okhttp3.OkHttpClient$Builder: okhttp3.OkHttpClient build()>()	timediff:38
I/System.out( 8107): body:<com.greendotcorp.core.network.HttpClientGdcProvider: void a(java.lang.String)>	sig:specialinvoke $r2.<java.net.URI: void <init>(java.lang.String)>($r1)	timediff:0
I/System.out( 8107): body:<com.greendotcorp.core.network.HttpClientGdcProvider: void a(java.lang.String)>	sig:specialinvoke $r2.<java.net.URI: void <init>(java.lang.String)>($r1)	timediff:0
E/SQLiteLog( 8107): (14) cannot open file at line 30191 of [00bb9c9ce4]
E/SQLiteLog( 8107): (14) os_unix.c:30191: (2) open(/data/data/com.greendot.walmart.prepaid/databases/zipcodes.jpg) - 
E/SQLiteDatabase( 8107): Failed to open database '/data/data/com.greendot.walmart.prepaid/databases/zipcodes.jpg'.
E/SQLiteDatabase( 8107): android.database.sqlite.SQLiteCantOpenDatabaseException: unknown error (code 14): Could not open database
E/SQLiteDatabase( 8107): 	at android.database.sqlite.SQLiteConnection.nativeOpen(Native Method)
E/SQLiteDatabase( 8107): 	at android.database.sqlite.SQLiteConnection.open(SQLiteConnection.java:209)
E/SQLiteDatabase( 8107): 	at android.database.sqlite.SQLiteConnection.open(SQLiteConnection.java:193)
E/SQLiteDatabase( 8107): 	at android.database.sqlite.SQLiteConnectionPool.openConnectionLocked(SQLiteConnectionPool.java:463)
E/SQLiteDatabase( 8107): 	at android.database.sqlite.SQLiteConnectionPool.open(SQLiteConnectionPool.java:185)
E/SQLiteDatabase( 8107): 	at android.database.sqlite.SQLiteConnectionPool.open(SQLiteConnectionPool.java:177)
E/SQLiteDatabase( 8107): 	at android.database.sqlite.SQLiteDatabase.openInner(SQLiteDatabase.java:804)
E/SQLiteDatabase( 8107): 	at android.database.sqlite.SQLiteDatabase.open(SQLiteDatabase.java:789)
E/SQLiteDatabase( 8107): 	at android.database.sqlite.SQLiteDatabase.openDatabase(SQLiteDatabase.java:694)
E/SQLiteDatabase( 8107): 	at android.database.sqlite.SQLiteDatabase.openDatabase(SQLiteDatabase.java:669)
E/SQLiteDatabase( 8107): 	at com.greendotcorp.core.provider.ZipCodeDbHelper.c(SourceFile:94)
E/SQLiteDatabase( 8107): 	at com.greendotcorp.core.provider.ZipCodeDbHelper.a(SourceFile:61)
E/SQLiteDatabase( 8107): 	at com.greendotcorp.core.service.CoreServices.<init>(SourceFile:121)
E/SQLiteDatabase( 8107): 	at com.greendotcorp.core.LooptApplication.onCreate(SourceFile:1087)
E/SQLiteDatabase( 8107): 	at android.app.Instrumentation.callApplicationOnCreate(Instrumentation.java:1024)
E/SQLiteDatabase( 8107): 	at android.app.ActivityThread.handleBindApplication(ActivityThread.java:4346)
E/SQLiteDatabase( 8107): 	at android.app.ActivityThread.access$1500(ActivityThread.java:135)
E/SQLiteDatabase( 8107): 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1256)
E/SQLiteDatabase( 8107): 	at android.os.Handler.dispatchMessage(Handler.java:102)
E/SQLiteDatabase( 8107): 	at android.os.Looper.loop(Looper.java:136)
E/SQLiteDatabase( 8107): 	at android.app.ActivityThread.main(ActivityThread.java:5019)
E/SQLiteDatabase( 8107): 	at java.lang.reflect.Method.invokeNative(Native Method)
E/SQLiteDatabase( 8107): 	at java.lang.reflect.Method.invoke(Method.java:515)
E/SQLiteDatabase( 8107): 	at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:779)
E/SQLiteDatabase( 8107): 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:595)
E/SQLiteDatabase( 8107): 	at dalvik.system.NativeStart.main(Native Method)
D/dalvikvm( 8107): GC_CONCURRENT freed 279K, 9% free 3515K/3860K, paused 2ms+0ms, total 5ms
I/Crittercism( 8107): Initializing Crittercism 5.0.6 for App ID 32486877834243b19a7c432da30ed18100555300
I/System.out( 8107): body:<a.a.aa: void a(android.content.Context,java.lang.String,com.crittercism.app.CrittercismConfig)>	sig:specialinvoke $r16.<java.net.URL: void <init>(java.lang.String)>($r6)	timediff:0
I/System.out( 8107): <a.a.aa: void a(android.content.Context,java.lang.String,com.crittercism.app.CrittercismConfig)>###specialinvoke $r16.<java.net.URL: void <init>(java.lang.String)>($r6)###https://apm.crittercism.com/api/apm/network
I/System.out( 8107): body:<a.a.fb: void <clinit>()>	sig:specialinvoke $r2.<java.net.URL: void <init>(java.lang.String)>("https://www.google.com")	timediff:0
I/System.out( 8107): <a.a.fb: void <clinit>()>###specialinvoke $r2.<java.net.URL: void <init>(java.lang.String)>("https://www.google.com")###https://www.google.com
I/System.out( 8107): body:<a.a.d$1: void <init>()>	sig:specialinvoke $r0.<java.net.SocketImpl: void <init>()>()	timediff:0
I/System.out( 8107): body:<a.a.d: void <init>(a.a.ep,a.a.dr,java.net.SocketImpl)>	sig:specialinvoke $r0.<java.net.SocketImpl: void <init>()>()	timediff:0
I/System.out( 8107): body:<a.a.d: void setOption(int,java.lang.Object)>	sig:virtualinvoke $r2.<java.net.SocketImpl: void setOption(int,java.lang.Object)>($i0, $r1)	timediff:0
I/System.out( 8107): body:<a.a.d: java.lang.Object getOption(int)>	sig:$r2 = virtualinvoke $r1.<java.net.SocketImpl: java.lang.Object getOption(int)>($i0)	timediff:0
I/System.out( 8107): body:<a.a.fb: boolean g()>	sig:specialinvoke $r6.<java.net.Socket: void <init>()>()	timediff:0
I/System.out( 8107): body:<a.a.fb: boolean g()>	sig:staticinvoke <java.net.Socket: void setSocketImplFactory(java.net.SocketImplFactory)>($r11)	timediff:0
D/dalvikvm( 8107): GC_CONCURRENT freed 277K, 9% free 3629K/3980K, paused 1ms+1ms, total 4ms
I/GreendotCorp( 8107): [D0-H1-P-B18][41759c82-f08e-4dc6-a834-3fb34bd5fd37] A fresh start of Root Activity
I/GreendotCorp( 8107): [D0-H1-P-B18][41759c82-f08e-4dc6-a834-3fb34bd5fd37] Go to pre-login screen
I/ActivityManager(  470): START u0 {flg=0x4000000 cmp=com.greendot.walmart.prepaid/com.greendotcorp.core.activity.prelogin.PreLoginWelcomeActivity} from pid 8107
I/System.out( 8107): body:<a.a.dv: java.net.URL a()>	sig:specialinvoke $r1.<java.net.URL: void <init>(java.lang.String)>($r3)	timediff:0
I/System.out( 8107): <a.a.dv: java.net.URL a()>###specialinvoke $r1.<java.net.URL: void <init>(java.lang.String)>($r3)###https://appload.ingest.crittercism.com/v0/appload/
I/System.out( 8107): body:<a.a.dw: java.net.HttpURLConnection a()>	sig:$r3 = virtualinvoke $r1.<java.net.URL: java.net.URLConnection openConnection()>()	timediff:1
I/System.out( 8107): body:<a.a.dw: java.net.HttpURLConnection a()>	sig:virtualinvoke $r4.<java.net.HttpURLConnection: void addRequestProperty(java.lang.String,java.lang.String)>($r12, $r11)	timediff:0
I/System.out( 8107): body:<a.a.dw: java.net.HttpURLConnection a()>	sig:virtualinvoke $r4.<java.net.HttpURLConnection: void addRequestProperty(java.lang.String,java.lang.String)>($r12, $r11)	timediff:0
I/System.out( 8107): body:<a.a.dw: java.net.HttpURLConnection a()>	sig:virtualinvoke $r4.<java.net.HttpURLConnection: void addRequestProperty(java.lang.String,java.lang.String)>($r12, $r11)	timediff:0
I/System.out( 8107): body:<a.a.dw: java.net.HttpURLConnection a()>	sig:virtualinvoke $r4.<java.net.HttpURLConnection: void addRequestProperty(java.lang.String,java.lang.String)>($r12, $r11)	timediff:0
I/System.out( 8107): body:<a.a.dw: java.net.HttpURLConnection a()>	sig:virtualinvoke $r4.<java.net.HttpURLConnection: void setConnectTimeout(int)>($i0)	timediff:0
I/System.out( 8107): body:<a.a.dw: java.net.HttpURLConnection a()>	sig:virtualinvoke $r4.<java.net.HttpURLConnection: void setReadTimeout(int)>($i0)	timediff:0
I/System.out( 8107): body:<a.a.dw: java.net.HttpURLConnection a()>	sig:virtualinvoke $r4.<java.net.HttpURLConnection: void setDoInput(boolean)>($z0)	timediff:0
I/System.out( 8107): body:<a.a.dw: java.net.HttpURLConnection a()>	sig:virtualinvoke $r4.<java.net.HttpURLConnection: void setDoOutput(boolean)>($z0)	timediff:0
I/System.out( 8107): body:<a.a.dw: java.net.HttpURLConnection a()>	sig:virtualinvoke $r4.<java.net.HttpURLConnection: void setRequestMethod(java.lang.String)>($r12)	timediff:0
I/System.out( 8107): body:<a.a.d: void <init>(a.a.ep,a.a.dr,java.net.SocketImpl)>	sig:specialinvoke $r0.<java.net.SocketImpl: void <init>()>()	timediff:0
I/System.out( 8107): body:<a.a.d: void setOption(int,java.lang.Object)>	sig:virtualinvoke $r2.<java.net.SocketImpl: void setOption(int,java.lang.Object)>($i0, $r1)	timediff:0
I/System.out( 8107): body:<a.a.d: void <init>(a.a.ep,a.a.dr,java.net.SocketImpl)>	sig:specialinvoke $r0.<java.net.SocketImpl: void <init>()>()	timediff:0
I/System.out( 8107): body:<a.a.d: java.lang.Object getOption(int)>	sig:$r2 = virtualinvoke $r1.<java.net.SocketImpl: java.lang.Object getOption(int)>($i0)	timediff:0
I/System.out( 8107): body:<a.a.d: java.lang.Object getOption(int)>	sig:$r2 = virtualinvoke $r1.<java.net.SocketImpl: java.lang.Object getOption(int)>($i0)	timediff:0
D/dalvikvm( 8107): GC_CONCURRENT freed 324K, 11% free 3691K/4128K, paused 3ms+1ms, total 5ms
I/System.out( 8107): body:<a.a.ed: void a()>	sig:$r7 = virtualinvoke $r5.<java.net.HttpURLConnection: java.io.OutputStream getOutputStream()>()	timediff:115
I/System.out( 8107): body:<a.a.d: java.lang.Object getOption(int)>	sig:$r2 = virtualinvoke $r1.<java.net.SocketImpl: java.lang.Object getOption(int)>($i0)	timediff:0
I/System.out( 8107): body:<a.a.ed: void a()>	sig:$i0 = virtualinvoke $r5.<java.net.HttpURLConnection: int getResponseCode()>()	timediff:26
D/dalvikvm( 8107): GC_CONCURRENT freed 368K, 11% free 3707K/4140K, paused 2ms+0ms, total 5ms
I/System.out( 8107): body:<a.a.ed: void a()>	sig:$r9 = virtualinvoke $r5.<java.net.URLConnection: java.io.InputStream getInputStream()>()	timediff:0
I/System.out( 8107): body:<empirical.HelperClass: void printURLInfo(java.lang.String,java.lang.String,java.net.URLConnection)>	sig:$r0 = virtualinvoke urlConnection.<java.net.URLConnection: java.net.URL getURL()>()	timediff:0
I/System.out( 8107): body:<empirical.HelperClass: void printURLInfo(java.lang.String,java.lang.String,java.net.URLConnection)>	sig:urlString = virtualinvoke $r0.<java.net.URL: java.lang.String toString()>()	timediff:0
I/System.out( 8107): body:<empirical.HelperClass: void printURLInfo(java.lang.String,java.lang.String,java.net.URLConnection)>	sig:isDoOutput = virtualinvoke urlConnection.<java.net.URLConnection: boolean getDoOutput()>()	timediff:0
I/System.out( 8107): body:<empirical.HelperClass: java.lang.String getHeaderField(java.net.URLConnection,java.lang.String)>	sig:data = virtualinvoke conn.<java.net.URLConnection: java.lang.String getHeaderField(java.lang.String)>(field)	timediff:0
I/System.out( 8107): body:<empirical.HelperClass: java.lang.String getHeaderField(java.net.URLConnection,java.lang.String)>	sig:data = virtualinvoke conn.<java.net.URLConnection: java.lang.String getHeaderField(java.lang.String)>(field)	timediff:0
I/System.out( 8107): body:<empirical.HelperClass: java.lang.String getHeaderField(java.net.URLConnection,java.lang.String)>	sig:data = virtualinvoke conn.<java.net.URLConnection: java.lang.String getHeaderField(java.lang.String)>(field)	timediff:0
I/System.out( 8107): body:<empirical.HelperClass: java.lang.String getHeaderField(java.net.URLConnection,java.lang.String)>	sig:data = virtualinvoke conn.<java.net.URLConnection: java.lang.String getHeaderField(java.lang.String)>(field)	timediff:0
I/System.out( 8107): body:<empirical.HelperClass: java.lang.String getHeaderField(java.net.URLConnection,java.lang.String)>	sig:data = virtualinvoke conn.<java.net.URLConnection: java.lang.String getHeaderField(java.lang.String)>(field)	timediff:0
I/System.out( 8107): URLConn;%;0;%;<a.a.ed: void a()>;%;$r9 = virtualinvoke $r5.<java.net.URLConnection: java.io.InputStream getInputStream()>();%;https://appload.ingest.crittercism.com/v0/appload/;%;true;%;370;%;Not found;%;Not found;%;Not found;%;Not found
I/System.out( 8107): body:<a.a.d: java.lang.Object getOption(int)>	sig:$r2 = virtualinvoke $r1.<java.net.SocketImpl: java.lang.Object getOption(int)>($i0)	timediff:0
I/System.out( 8107): body:<a.a.d: void setOption(int,java.lang.Object)>	sig:virtualinvoke $r2.<java.net.SocketImpl: void setOption(int,java.lang.Object)>($i0, $r1)	timediff:0
I/System.out( 8107): body:<a.a.d: void setOption(int,java.lang.Object)>	sig:virtualinvoke $r2.<java.net.SocketImpl: void setOption(int,java.lang.Object)>($i0, $r1)	timediff:0
I/System.out( 8107): body:<a.a.d: void setOption(int,java.lang.Object)>	sig:virtualinvoke $r2.<java.net.SocketImpl: void setOption(int,java.lang.Object)>($i0, $r1)	timediff:0
I/System.out( 8107): body:<a.a.d: void setOption(int,java.lang.Object)>	sig:virtualinvoke $r2.<java.net.SocketImpl: void setOption(int,java.lang.Object)>($i0, $r1)	timediff:0
I/System.out( 8107): body:<a.a.ed: void a()>	sig:virtualinvoke $r5.<java.net.HttpURLConnection: void disconnect()>()	timediff:0
I/Crittercism( 8107): Enabling OPTMZ
I/System.out( 8107): body:<a.a.dv: java.net.URL a()>	sig:specialinvoke $r1.<java.net.URL: void <init>(java.lang.String)>($r3)	timediff:0
I/System.out( 8107): <a.a.dv: java.net.URL a()>###specialinvoke $r1.<java.net.URL: void <init>(java.lang.String)>($r3)###https://api.crittercism.com/android_v2/update_user_metadata
I/System.out( 8107): body:<a.a.dw: java.net.HttpURLConnection a()>	sig:$r3 = virtualinvoke $r1.<java.net.URL: java.net.URLConnection openConnection()>()	timediff:0
I/System.out( 8107): body:<a.a.dw: java.net.HttpURLConnection a()>	sig:virtualinvoke $r4.<java.net.HttpURLConnection: void addRequestProperty(java.lang.String,java.lang.String)>($r12, $r11)	timediff:0
I/System.out( 8107): body:<a.a.dw: java.net.HttpURLConnection a()>	sig:virtualinvoke $r4.<java.net.HttpURLConnection: void addRequestProperty(java.lang.String,java.lang.String)>($r12, $r11)	timediff:0
I/System.out( 8107): body:<a.a.dw: java.net.HttpURLConnection a()>	sig:virtualinvoke $r4.<java.net.HttpURLConnection: void addRequestProperty(java.lang.String,java.lang.String)>($r12, $r11)	timediff:0
I/System.out( 8107): body:<a.a.dw: java.net.HttpURLConnection a()>	sig:virtualinvoke $r4.<java.net.HttpURLConnection: void addRequestProperty(java.lang.String,java.lang.String)>($r12, $r11)	timediff:0
I/System.out( 8107): body:<a.a.dw: java.net.HttpURLConnection a()>	sig:virtualinvoke $r4.<java.net.HttpURLConnection: void setConnectTimeout(int)>($i0)	timediff:0
I/System.out( 8107): body:<a.a.dw: java.net.HttpURLConnection a()>	sig:virtualinvoke $r4.<java.net.HttpURLConnection: void setReadTimeout(int)>($i0)	timediff:0
I/System.out( 8107): body:<a.a.dw: java.net.HttpURLConnection a()>	sig:virtualinvoke $r4.<java.net.HttpURLConnection: void setDoInput(boolean)>($z0)	timediff:0
I/System.out( 8107): body:<a.a.dw: java.net.HttpURLConnection a()>	sig:virtualinvoke $r4.<java.net.HttpURLConnection: void setDoOutput(boolean)>($z0)	timediff:0
I/System.out( 8107): body:<a.a.dw: java.net.HttpURLConnection a()>	sig:virtualinvoke $r4.<java.net.HttpURLConnection: void setRequestMethod(java.lang.String)>($r12)	timediff:0
I/System.out( 8107): body:<a.a.d: void <init>(a.a.ep,a.a.dr,java.net.SocketImpl)>	sig:specialinvoke $r0.<java.net.SocketImpl: void <init>()>()	timediff:0
I/System.out( 8107): body:<a.a.d: void setOption(int,java.lang.Object)>	sig:virtualinvoke $r2.<java.net.SocketImpl: void setOption(int,java.lang.Object)>($i0, $r1)	timediff:0
I/System.out( 8107): body:<a.a.d: void <init>(a.a.ep,a.a.dr,java.net.SocketImpl)>	sig:specialinvoke $r0.<java.net.SocketImpl: void <init>()>()	timediff:0
I/System.out( 8107): body:<a.a.d: java.lang.Object getOption(int)>	sig:$r2 = virtualinvoke $r1.<java.net.SocketImpl: java.lang.Object getOption(int)>($i0)	timediff:0
I/System.out( 8107): body:<a.a.d: java.lang.Object getOption(int)>	sig:$r2 = virtualinvoke $r1.<java.net.SocketImpl: java.lang.Object getOption(int)>($i0)	timediff:0
D/dalvikvm( 8107): GC_CONCURRENT freed 361K, 11% free 3729K/4156K, paused 1ms+0ms, total 4ms
I/System.out( 8107): body:<a.a.ed: void a()>	sig:$r7 = virtualinvoke $r5.<java.net.HttpURLConnection: java.io.OutputStream getOutputStream()>()	timediff:127
I/System.out( 8107): body:<a.a.d: java.lang.Object getOption(int)>	sig:$r2 = virtualinvoke $r1.<java.net.SocketImpl: java.lang.Object getOption(int)>($i0)	timediff:0
I/System.out( 8107): body:<a.a.ed: void a()>	sig:$i0 = virtualinvoke $r5.<java.net.HttpURLConnection: int getResponseCode()>()	timediff:17
I/System.out( 8107): body:<a.a.d: java.lang.Object getOption(int)>	sig:$r2 = virtualinvoke $r1.<java.net.SocketImpl: java.lang.Object getOption(int)>($i0)	timediff:0
I/System.out( 8107): body:<a.a.d: void setOption(int,java.lang.Object)>	sig:virtualinvoke $r2.<java.net.SocketImpl: void setOption(int,java.lang.Object)>($i0, $r1)	timediff:0
